app,number_of_participants,camera,microphone,background,joules
Zoom,5,False,True,False,246.96432000000001
Zoom,5,False,True,False,269.55252
Zoom,5,False,True,False,268.04664
Zoom,5,False,True,False,268.04664
Zoom,5,False,True,False,263.529
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,263.529
Zoom,5,False,True,False,263.529
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,243.95255999999998
Zoom,5,False,True,False,263.529
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,263.529
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,265.03488
Zoom,5,False,True,False,265.03488
Zoom,5,True,True,True,955.3075200000001
Zoom,5,True,True,True,978.7219200000001
Zoom,5,True,True,True,978.7219200000001
Zoom,5,True,True,True,980.28288
Zoom,5,True,True,True,981.84384
Zoom,5,True,True,True,980.28288
Zoom,5,True,True,True,978.7219200000001
Zoom,5,True,True,True,978.7219200000001
Zoom,5,True,True,True,980.28288
Zoom,5,True,True,True,964.67328
Zoom,5,True,True,True,981.84384
Zoom,5,True,True,True,981.84384
Zoom,5,True,True,True,980.28288
Zoom,5,True,True,True,981.84384
Zoom,5,True,True,True,980.28288
Zoom,5,True,True,True,980.28288
Zoom,5,True,True,True,981.84384
Zoom,5,True,True,True,981.84384
Zoom,5,True,True,True,984.9657600000002
Zoom,5,True,True,True,983.4048
Zoom,5,False,False,False,244.81548
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,252.51407999999998
Zoom,5,False,False,False,252.51407999999998
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,252.51407999999998
Zoom,5,False,False,False,252.51407999999998
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,252.51407999999998
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,252.51407999999998
Zoom,5,False,False,False,250.97436000000002
Zoom,5,False,False,False,250.97436000000002
Zoom,5,True,False,False,931.0204799999999
Zoom,5,True,False,False,956.79792
Zoom,5,True,False,False,958.31424
Zoom,5,True,False,False,953.7652799999998
Zoom,5,True,False,False,952.2489599999999
Zoom,5,True,False,False,949.21632
Zoom,5,True,False,False,950.7326400000001
Zoom,5,True,False,False,952.2489599999999
Zoom,5,True,False,False,952.2489599999999
Zoom,5,True,False,False,949.21632
Zoom,5,True,False,False,952.2489599999999
Zoom,5,True,False,False,949.21632
Zoom,5,True,False,False,926.47152
Zoom,5,True,False,False,947.6999999999999
Zoom,5,True,False,False,947.6999999999999
Zoom,5,True,False,False,956.79792
Zoom,5,True,False,False,950.7326400000001
Zoom,5,True,False,False,952.2489599999999
Zoom,5,True,False,False,947.6999999999999
Zoom,5,True,False,False,952.2489599999999
Zoom,5,True,True,False,155.94983999999997
Zoom,5,True,True,False,954.04608
Zoom,5,True,True,False,969.33528
Zoom,5,True,True,False,970.8642
Zoom,5,True,True,False,973.9220400000002
Zoom,5,True,True,False,981.5666400000002
Zoom,5,True,True,False,976.97988
Zoom,5,True,True,False,963.2196
Zoom,5,True,True,False,978.5088
Zoom,5,True,True,False,975.45096
Zoom,5,True,True,False,975.45096
Zoom,5,True,True,False,972.39312
Zoom,5,True,True,False,975.45096
Zoom,5,True,True,False,976.97988
Zoom,5,True,True,False,972.39312
Zoom,5,True,True,False,984.6244800000002
Zoom,5,True,True,False,975.45096
Zoom,5,True,True,False,973.9220400000002
Zoom,5,True,True,False,975.45096
Zoom,5,True,True,False,970.8642
Zoom,5,True,False,True,951.3957600000001
Zoom,5,True,False,True,963.95544
Zoom,5,True,False,True,965.5254
Zoom,5,True,False,True,970.2352799999999
Zoom,5,True,False,True,970.2352799999999
Zoom,5,True,False,True,967.0953600000001
Zoom,5,True,False,True,965.5254
Zoom,5,True,False,True,971.8052399999999
Zoom,5,True,False,True,971.8052399999999
Zoom,5,True,False,True,967.0953600000001
Zoom,5,True,False,True,943.54596
Zoom,5,True,False,True,971.8052399999999
Zoom,5,True,False,True,971.8052399999999
Zoom,5,True,False,True,970.2352799999999
Zoom,5,True,False,True,971.8052399999999
Zoom,5,True,False,True,948.2558399999999
Zoom,5,True,False,True,973.3752000000001
Zoom,5,True,False,True,970.2352799999999
